campaign_id,campaing_name,channel_id,objective,start_date,end_date,status
1,whiteboard one-to-one web-readiness,1,Lead Generation,2024-01-01,2024-12-31,Active
2,extend efficient action-items,1,Website Traffic,2024-01-01,2024-12-31,Active
3,enhance global platforms,1,Lead Generation,2024-01-01,2024-12-31,Active
4,innovate e-business applications,1,Lead Generation,2024-01-01,2024-12-31,Active
5,brand robust web-readiness,2,Brand Awareness,2024-01-01,2024-12-31,Active
6,evolve killer e-services,2,Lead Generation,2024-01-01,2024-12-31,Active
7,deliver proactive schemas,2,Brand Awareness,2024-01-01,2024-12-31,Active
8,aggregate next-generation e-services,3,Brand Awareness,2024-01-01,2024-12-31,Active
9,grow efficient synergies,3,Brand Awareness,2024-01-01,2024-12-31,Active
10,engineer granular e-commerce,3,Brand Awareness,2024-01-01,2024-12-31,Active
11,facilitate efficient eyeballs,4,SEO Traffic,2024-01-01,2024-12-31,Active
